"Rank","Title","Description","Runtime","Genre","Metascore"
43,"Парни со стволами","
    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","114 min","
Biography, Comedy, Crime            ","
57        
        Metascore
            "
44,"Охота на дикарей","
    A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.","101 min","
Adventure, Comedy, Drama            ","
81        
        Metascore
            "
45,"Дом странных детей Мисс Перегрин","
    When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","127 min","
Adventure, Drama, Fantasy            ","
57        
        Metascore
            "
46,"Не дыши","
    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","88 min","
Crime, Horror, Thriller            ","
71        
        Metascore
            "
47,"5-я волна","
    Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.","112 min","
Action, Adventure, Drama            ","
33        
        Metascore
            "
48,"Неоновый демон","
    An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.","117 min","
Horror, Thriller            ","
51        
        Metascore
            "
49,"Патерсон","
    A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.","118 min","
Comedy, Drama, Romance            ","
90        
        Metascore
            "
50,"Плохая партия","
    In a desert dystopia, a young woman is kidnapped by cannibals.","118 min","
Drama, Horror, Romance            ","
62        
        Metascore
            "
51,"Черепашки-ниндзя 2","
    The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.","112 min","
Action, Adventure, Comedy            ","
40        
        Metascore
            "
52,"Кукла","
    An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.","97 min","
Horror, Mystery, Thriller            ","
42        
        Metascore
            "
53,"Основатель","
    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.","115 min","
Biography, Drama, History            ","
66        
        Metascore
            "
54,"Кловерфилд, 10","
    After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.","103 min","
Drama, Horror, Mystery            ","
76        
        Metascore
            "
55,"Белоснежка и охотник 2","
    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.","114 min","
Action, Adventure, Drama            ","
35        
        Metascore
            "
56,"Великая стена","
    In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.","103 min","
Action, Adventure, Fantasy            ","
42        
        Metascore
            "
57,"Джейсон Борн","
    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.","123 min","
Action, Thriller            ","
58        
        Metascore
            "
58,"Отмель","
    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.","86 min","
Drama, Horror, Thriller            ","
59        
        Metascore
            "
59,"Кредо убийцы","
    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.","115 min","
Action, Adventure, Sci-Fi            ","
36        
        Metascore
            "
60,"Побуждение","
    A weekend getaway takes a dangerous turn when a mysterious nightclub owner introduces a group of friends to a dangerous new designer drug.","89 min","
Thriller            ",NA
61,"Ниже её губ","
    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.","94 min","
Drama, Romance            ","
42        
        Metascore
            "
62,"Полный расколбас","
    A sausage strives to discover the truth about his existence.","89 min","
Animation, Adventure, Comedy            ","
66        
        Metascore
            "
63,"Тайная жизнь домашних животных","
    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","87 min","
Animation, Adventure, Comedy            ","
61        
        Metascore
            "
64,"Лекарство от здоровья","
    An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","146 min","
Drama, Fantasy, Horror            ","
47        
        Metascore
            "
65,"В поисках Дори","
    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.","97 min","
Animation, Adventure, Comedy            ","
77        
        Metascore
            "
66,"Охотники за привидениями","
    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","116 min","
Action, Comedy, Fantasy            ","
60        
        Metascore
            "
67,"Дивергент, глава 3: За стеной","
    After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.","120 min","
Action, Adventure, Mystery            ","
33        
        Metascore
            "
68,"Человек - швейцарский нож","
    A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.","97 min","
Comedy, Drama, Fantasy            ","
64        
        Metascore
            "
69,"Падение Лондона","
    In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.","99 min","
Action, Thriller            ","
28        
        Metascore
            "
70,"Очень плохие мамочки","
    When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.","100 min","
Comedy            ","
60        
        Metascore
            "
71,"Дангал","
    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","161 min","
Action, Biography, Drama            ",NA
72,"Примадонна","
    The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.","111 min","
Biography, Comedy, Drama            ","
71        
        Metascore
            "
73,"Обитель зла: Последняя глава","
    Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","107 min","
Action, Horror, Sci-Fi            ","
49        
        Metascore
            "
74,"Демон внутри","
    A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.","86 min","
Horror, Mystery, Thriller            ","
65        
        Metascore
            "
75,"Почти семнадцать","
    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.","104 min","
Comedy, Drama            ","
77        
        Metascore
            "
76,"Преступник","
    In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.","113 min","
Action, Crime, Drama            ","
36        
        Metascore
            "
77,"Опасная игра Слоун","
    In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.","132 min","
Drama, Thriller            ","
64        
        Metascore
            "
78,"Иллюзия обмана 2","
    The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","129 min","
Action, Adventure, Comedy            ","
46        
        Metascore
            "
79,"Американская милашка","
    A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.","163 min","
Adventure, Drama, Romance            ","
79        
        Metascore
            "
80,"Вопль","
    Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.","156 min","
Horror, Mystery, Thriller            ","
81        
        Metascore
            "
81,"Заклятие 2","
    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.","134 min","
Horror, Mystery, Thriller            ","
65        
        Metascore
            "
82,"Призрачная красота","
    Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.","97 min","
Drama, Romance            ","
23        
        Metascore
            "
83,"Тролли","
    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","92 min","
Animation, Adventure, Comedy            ","
56        
        Metascore
            "
84,"Тишина","
    A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.","82 min","
Horror, Thriller            ","
67        
        Metascore
            "
85,"Чудо на Гудзоне","
    The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.","96 min","
Biography, Drama            ","
74        
        Metascore
            "
86,"Алиса в Зазеркалье","
    Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.","113 min","
Adventure, Family, Fantasy            ","
34        
        Metascore
            "
87,"Пандемия","
    Pandemic is set in the near future, where a virus of epic proportions has overtaken the planet. There are more infected than uninfected, and humanity is losing its grip on survival. Its ...                See full summary »
","91 min","
Action, Horror, Sci-Fi            ","
47        
        Metascore
            "
88,"Глубоководный горизонт","
    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","107 min","
Action, Drama, History            ","
68        
        Metascore
            "
89,"Гордость и предубеждение и зомби","
    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.","108 min","
Action, Comedy, Fantasy            ","
45        
        Metascore
            "
90,"Свадебный угар","
    Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.","98 min","
Comedy, Romance            ","
51        
        Metascore
            "
91,"Да здравствует Цезарь!","
    A Hollywood fixer in the 1950s works to keep the studio's stars in line.","106 min","
Comedy, Drama, Music            ","
72        
        Metascore
            "
92,"Братья из Гримсби","
    A new assignment forces a top spy to team up with his football hooligan brother.","83 min","
Action, Adventure, Comedy            ","
44        
        Metascore
            "
93,"Почему он?","
    A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.","111 min","
Comedy            ","
39        
        Metascore
            "
94,"Женщины ХХ века","
    The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.","119 min","
Comedy, Drama            ","
83        
        Metascore
            "
95,"Союзники","
    In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","124 min","
Action, Drama, Romance            ","
60        
        Metascore
            "
96,"Джек Ричер 2: Никогда не возвращайся","
    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.","118 min","
Action, Thriller            ","
47        
        Metascore
            "
97,"Все по новой","
    Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.","108 min","
Action, Adventure, Comedy            ","
22        
        Metascore
            "
98,"Полтора шпиона","
    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.","107 min","
Action, Comedy, Crime            ","
52        
        Metascore
            "
99,"Дедушка легкого поведения","
    Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.","102 min","
Comedy            ","
21        
        Metascore
            "
100,"Большой и добрый великан","
    An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","117 min","
Adventure, Family, Fantasy            ","
66        
        Metascore
            "
